dt,open,high,low,close,adj_close,volume,ticker
2025-06-02,10.880000114440918,10.880000114440918,10.718000411987305,10.718000411987305,10.718000411987305,0,EDEF.DE
2025-06-03,10.855999946594238,10.930000305175781,10.855999946594238,10.930000305175781,10.930000305175781,0,EDEF.DE
2025-06-04,10.92199993133545,10.956000328063965,10.847999572753906,10.847999572753906,10.847999572753906,3000,EDEF.DE
2025-06-05,10.890000343322754,11.008000373840332,10.890000343322754,11.008000373840332,11.008000373840332,600,EDEF.DE
2025-06-06,10.98799991607666,10.98799991607666,10.732000350952148,10.732000350952148,10.732000350952148,0,EDEF.DE
2025-06-09,10.652000427246094,10.652000427246094,10.569999694824219,10.631999969482422,10.631999969482422,0,EDEF.DE
2025-06-10,10.380000114440918,10.51200008392334,10.199999809265137,10.199999809265137,10.199999809265137,600,EDEF.DE
2025-06-11,10.229999542236328,10.314000129699707,10.229999542236328,10.314000129699707,10.314000129699707,2080,EDEF.DE
2025-06-12,10.399999618530273,10.399999618530273,10.196000099182129,10.362000465393066,10.362000465393066,100,EDEF.DE
2025-06-13,10.45199966430664,10.45199966430664,10.300000190734863,10.359999656677246,10.359999656677246,1951,EDEF.DE
2025-06-16,10.47599983215332,10.477999687194824,10.399999618530273,10.399999618530273,10.399999618530273,2986,EDEF.DE
2025-06-17,10.284000396728516,10.390000343322754,10.284000396728516,10.390000343322754,10.390000343322754,0,EDEF.DE
2025-06-18,10.449999809265137,10.491999626159668,10.449999809265137,10.456000328063965,10.456000328063965,15,EDEF.DE
2025-06-19,10.498000144958496,10.498000144958496,10.350000381469727,10.350000381469727,10.350000381469727,2870,EDEF.DE
2025-06-20,10.418000221252441,10.503999710083008,10.418000221252441,10.479999542236328,10.479999542236328,6408,EDEF.DE
2025-06-23,10.300000190734863,10.343999862670898,10.300000190734863,10.343999862670898,10.343999862670898,0,EDEF.DE
2025-06-24,10.324000358581543,10.432000160217285,10.263999938964844,10.263999938964844,10.263999938964844,8200,EDEF.DE
2025-06-25,10.329999923706055,10.406000137329102,10.329999923706055,10.406000137329102,10.406000137329102,554,EDEF.DE
2025-06-26,10.456000328063965,10.751999855041504,10.456000328063965,10.751999855041504,10.751999855041504,240,EDEF.DE
2025-06-27,10.753999710083008,10.753999710083008,10.654000282287598,10.661999702453613,10.661999702453613,1620,EDEF.DE
2025-06-30,10.78600025177002,10.817999839782715,10.772000312805176,10.817999839782715,10.817999839782715,240,EDEF.DE
2025-07-01,10.781999588012695,10.781999588012695,10.359999656677246,10.359999656677246,10.359999656677246,1595,EDEF.DE
2025-07-02,10.369999885559082,10.378000259399414,10.321999549865723,10.378000259399414,10.378000259399414,27,EDEF.DE
2025-07-03,10.447999954223633,10.473999977111816,10.357999801635742,10.473999977111816,10.473999977111816,100,EDEF.DE
2025-07-04,10.473999977111816,10.545999526977539,10.458000183105469,10.53600025177002,10.53600025177002,9175,EDEF.DE
2025-07-07,10.593999862670898,10.710000038146973,10.593999862670898,10.710000038146973,10.710000038146973,3126,EDEF.DE
2025-07-08,10.729999542236328,10.77400016784668,10.729999542236328,10.732000350952148,10.732000350952148,7973,EDEF.DE
2025-07-09,10.781999588012695,10.79800033569336,10.734000205993652,10.79800033569336,10.79800033569336,3705,EDEF.DE
2025-07-10,10.76200008392334,10.817999839782715,10.72599983215332,10.748000144958496,10.748000144958496,7003,EDEF.DE
2025-07-11,10.776000022888184,10.805999755859375,10.678000450134277,10.789999961853027,10.789999961853027,2387,EDEF.DE
2025-07-14,10.746000289916992,10.890000343322754,10.746000289916992,10.890000343322754,10.890000343322754,1087,EDEF.DE
2025-07-15,10.829999923706055,10.829999923706055,10.71399974822998,10.71399974822998,10.71399974822998,51481,EDEF.DE
2025-07-16,10.704000473022461,10.704000473022461,10.621999740600586,10.621999740600586,10.621999740600586,32460,EDEF.DE
2025-07-17,10.692000389099121,10.826000213623047,10.692000389099121,10.8100004196167,10.8100004196167,10500,EDEF.DE
2025-07-18,10.961999893188477,11.001999855041504,10.960000038146973,11.001999855041504,11.001999855041504,11168,EDEF.DE
2025-07-21,10.949999809265137,10.949999809265137,10.755999565124512,10.84000015258789,10.84000015258789,17075,EDEF.DE
2025-07-22,10.833999633789062,10.833999633789062,10.529999732971191,10.640000343322754,10.640000343322754,12302,EDEF.DE
2025-07-23,10.668000221252441,10.727999687194824,10.668000221252441,10.694000244140625,10.694000244140625,6619,EDEF.DE
2025-07-24,10.807999610900879,10.8100004196167,10.571999549865723,10.571999549865723,10.571999549865723,11137,EDEF.DE
2025-07-25,10.545999526977539,10.552000045776367,10.48799991607666,10.5,10.5,1520,EDEF.DE
2025-07-28,10.420000076293945,10.449999809265137,10.324000358581543,10.326000213623047,10.326000213623047,802,EDEF.DE
2025-07-29,10.399999618530273,10.581999778747559,10.399999618530273,10.569999694824219,10.569999694824219,2039,EDEF.DE
2025-07-30,10.75,10.75,10.517999649047852,10.517999649047852,10.517999649047852,2393,EDEF.DE
2025-07-31,10.708000183105469,10.781999588012695,10.649999618530273,10.649999618530273,10.649999618530273,3553,EDEF.DE
2025-08-01,10.57800006866455,10.57800006866455,10.4399995803833,10.444000244140625,10.444000244140625,5783,EDEF.DE
2025-08-04,10.539999961853027,10.673999786376953,10.539999961853027,10.652000427246094,10.652000427246094,1028,EDEF.DE
2025-08-05,10.741999626159668,10.779999732971191,10.680000305175781,10.704000473022461,10.704000473022461,1611,EDEF.DE
2025-08-06,10.76200008392334,10.788000106811523,10.640000343322754,10.788000106811523,10.788000106811523,4856,EDEF.DE
2025-08-07,10.637999534606934,10.637999534606934,10.48799991607666,10.510000228881836,10.510000228881836,1970,EDEF.DE
2025-08-08,10.543999671936035,10.605999946594238,10.383999824523926,10.383999824523926,10.383999824523926,2786,EDEF.DE
2025-08-11,10.149999618530273,10.289999961853027,10.149999618530273,10.279999732971191,10.279999732971191,4690,EDEF.DE
2025-08-12,10.355999946594238,10.435999870300293,10.333999633789062,10.435999870300293,10.435999870300293,2386,EDEF.DE
2025-08-13,10.569999694824219,10.581999778747559,10.432000160217285,10.432000160217285,10.432000160217285,879,EDEF.DE
2025-08-14,10.496000289916992,10.654000282287598,10.496000289916992,10.654000282287598,10.654000282287598,0,EDEF.DE
2025-08-15,10.675999641418457,10.675999641418457,10.477999687194824,10.567999839782715,10.567999839782715,2780,EDEF.DE
2025-08-18,10.63599967956543,10.71399974822998,10.63599967956543,10.697999954223633,10.697999954223633,440,EDEF.DE
2025-08-19,10.62399959564209,10.62399959564209,10.255999565124512,10.305999755859375,10.305999755859375,7536,EDEF.DE
2025-08-20,10.144000053405762,10.26200008392334,10.144000053405762,10.218000411987305,10.218000411987305,8512,EDEF.DE
2025-08-21,10.326000213623047,10.411999702453613,10.326000213623047,10.404000282287598,10.404000282287598,3704,EDEF.DE
2025-08-22,10.449999809265137,10.477999687194824,10.449999809265137,10.458000183105469,10.458000183105469,144,EDEF.DE
2025-08-25,10.470000267028809,10.564000129699707,10.470000267028809,10.534000396728516,10.534000396728516,1040,EDEF.DE
2025-08-26,10.517999649047852,10.529999732971191,10.446000099182129,10.529999732971191,10.529999732971191,7192,EDEF.DE
2025-08-27,10.588000297546387,10.588000297546387,10.442000389099121,10.498000144958496,10.498000144958496,6300,EDEF.DE
2025-08-28,10.538000106811523,10.550000190734863,10.416000366210938,10.550000190734863,10.550000190734863,13688,EDEF.DE
2025-08-29,10.5600004196167,10.633999824523926,10.5600004196167,10.565999984741211,10.565999984741211,7445,EDEF.DE
2025-09-01,10.631999969482422,10.800000190734863,10.631999969482422,10.788000106811523,10.788000106811523,1260,EDEF.DE
2025-09-02,10.78600025177002,10.78600025177002,10.5,10.555999755859375,10.555999755859375,3025,EDEF.DE
2025-09-03,10.612000465393066,10.678000450134277,10.612000465393066,10.67199993133545,10.67199993133545,62,EDEF.DE
2025-09-04,10.564000129699707,10.564000129699707,10.505999565124512,10.53600025177002,10.53600025177002,2061,EDEF.DE
2025-09-05,10.564000129699707,10.654000282287598,10.531999588012695,10.531999588012695,10.531999588012695,700,EDEF.DE
2025-09-08,10.597999572753906,10.697999954223633,10.597999572753906,10.697999954223633,10.697999954223633,4152,EDEF.DE
2025-09-09,10.515999794006348,10.628000259399414,10.5,10.628000259399414,10.628000259399414,5900,EDEF.DE
