Date,Ticker,Open,High,Low,Close,Volume
2023-09-06,USCBC.MI,10.0,10.0,10.0,10.0,0
2023-09-07,USCBC.MI,10.03499984741211,10.03499984741211,10.03499984741211,10.03499984741211,0
2023-09-08,USCBC.MI,10.04800033569336,10.04800033569336,10.04800033569336,10.04800033569336,0
2023-09-11,USCBC.MI,10.034000396728516,10.034000396728516,10.034000396728516,10.034000396728516,0
2023-09-12,USCBC.MI,10.036999702453613,10.036999702453613,10.036999702453613,10.036999702453613,0
2023-09-13,USCBC.MI,10.04699993133545,10.04699993133545,10.04699993133545,10.04699993133545,0
2023-09-14,USCBC.MI,10.032999992370605,10.032999992370605,10.032999992370605,10.032999992370605,0
2023-09-15,USCBC.MI,10.01200008392334,10.01200008392334,10.01200008392334,10.01200008392334,0
2023-09-18,USCBC.MI,10.029999732971191,10.029999732971191,10.029999732971191,10.029999732971191,0
2023-09-19,USCBC.MI,10.003999710083008,10.003999710083008,10.003999710083008,10.003999710083008,0
2023-09-20,USCBC.MI,10.013999938964844,10.013999938964844,10.013999938964844,10.013999938964844,0
2023-09-21,USCBC.MI,9.928000450134277,9.928000450134277,9.928000450134277,9.928000450134277,0
2023-09-22,USCBC.MI,9.979000091552734,9.979000091552734,9.979000091552734,9.979000091552734,0
2023-09-25,USCBC.MI,9.906999588012695,9.906999588012695,9.906999588012695,9.906999588012695,0
2023-09-26,USCBC.MI,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,0
2023-09-27,USCBC.MI,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0
2023-09-28,USCBC.MI,9.857999801635742,9.857999801635742,9.857999801635742,9.857999801635742,0
2023-09-29,USCBC.MI,9.85099983215332,9.85099983215332,9.85099983215332,9.85099983215332,0
2023-10-02,USCBC.MI,9.776000022888184,9.776000022888184,9.776000022888184,9.776000022888184,0
2023-10-03,USCBC.MI,9.685999870300293,9.685999870300293,9.685999870300293,9.685999870300293,0
2023-10-04,USCBC.MI,9.75,9.75,9.75,9.75,0
2023-10-05,USCBC.MI,9.746999740600586,9.746999740600586,9.746999740600586,9.746999740600586,0
2023-10-06,USCBC.MI,9.708999633789062,9.708999633789062,9.708999633789062,9.708999633789062,0
2023-10-09,USCBC.MI,9.713000297546387,9.713000297546387,9.713000297546387,9.713000297546387,0
2023-10-10,USCBC.MI,9.815999984741211,9.815999984741211,9.815999984741211,9.815999984741211,0
2023-10-11,USCBC.MI,9.871000289916992,9.871000289916992,9.871000289916992,9.871000289916992,0
2023-10-12,USCBC.MI,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,0
2023-10-13,USCBC.MI,9.833999633789062,9.833999633789062,9.833999633789062,9.833999633789062,0
2023-10-16,USCBC.MI,9.781999588012695,9.781999588012695,9.781999588012695,9.781999588012695,0
2023-10-17,USCBC.MI,9.711000442504883,9.711000442504883,9.711000442504883,9.711000442504883,0
2023-10-18,USCBC.MI,9.659000396728516,9.659000396728516,9.659000396728516,9.659000396728516,0
2023-10-19,USCBC.MI,9.3100004196167,9.3100004196167,9.149999618530273,9.149999618530273,69572
2023-10-20,USCBC.MI,9.119999885559082,9.119999885559082,9.119999885559082,9.119999885559082,409
2023-10-23,USCBC.MI,9.151000022888184,9.20300006866455,9.130000114440918,9.20300006866455,9230
2023-10-24,USCBC.MI,9.199999809265137,9.229999542236328,9.175000190734863,9.229999542236328,13513
2023-10-25,USCBC.MI,9.229999542236328,9.229999542236328,9.229999542236328,9.229999542236328,0
2023-10-26,USCBC.MI,9.229999542236328,9.229999542236328,9.229999542236328,9.229999542236328,0
2023-10-27,USCBC.MI,9.229999542236328,9.229999542236328,9.229999542236328,9.229999542236328,0
2023-10-30,USCBC.MI,9.145000457763672,9.163000106811523,9.140000343322754,9.163000106811523,6582
2023-10-31,USCBC.MI,9.163000106811523,9.163000106811523,9.163000106811523,9.163000106811523,0
2023-11-01,USCBC.MI,9.225000381469727,9.229999542236328,9.204999923706055,9.204999923706055,10396
