Date,Ticker,Open,High,Low,Close,Volume,Currency
2026-09-10,SVE.MI,19.886,19.886,19.886,19.886,831,
2026-09-10,SW2CHB.MI,34.86,34.88,34.555,34.555,13153,
2026-09-10,SWDA.MI,126.3,126.36,125.2,125.42,104804,
2026-09-08,TAEH.MI,5.573,5.573,5.573,5.573,0,
2026-09-10,TEET.MI,95.3,95.36,94.98,94.98,53,
2026-09-10,TELE.MI,52.81,52.81,52.47,52.66,123,
2026-09-08,TFRN.MI,52.93,52.93,52.93,52.93,0,
2026-09-08,TIPS.MI,23.845,23.845,23.84,23.84,524,
2026-09-10,TNOW.MI,1193.32,1193.32,1178.0,1186.19,69,
2026-09-10,TPXH.MI,617.71,617.71,611.84,611.84,65,
2026-09-08,TRS3.MI,40.935,40.935,40.935,40.935,0,
2026-09-10,TRVL.MI,25.52,25.52,25.485,25.485,160,
2026-09-10,TUR.MI,52.64,52.64,51.4,51.95,674,
2026-09-08,UNCA.MI,43.215,43.215,43.205,43.205,112,
2026-09-10,USAUSW.MI,38.615,38.615,38.365,38.42,13249,
2026-09-10,USCBC.MI,9.921,9.95,9.849,9.849,6091,
2026-09-08,USPA.MI,54.99,55.15,54.81,54.83,7062,
2026-09-10,V3AA.MI,7.645,7.645,7.568,7.583,32793,
2026-09-10,V3EA.MI,7.698,7.698,7.693,7.693,45,
2026-09-10,V3GF.MI,4.736,4.736,4.716,4.716,32628,
2026-09-10,V3ML.MI,7.65,7.65,7.598,7.599,755,
2026-09-08,V3NA.MI,7.946,7.946,7.933,7.933,704,
2026-09-08,V3PL.MI,9.063,9.063,9.058,9.058,9,
2026-09-10,V3RE.MI,5.747,5.754,5.727,5.727,34378,
2026-09-10,VAGF.MI,23.395,23.395,23.24,23.255,23116,
2026-09-10,VCEU.MI,470.05,470.6,467.8,467.8,63,
2026-09-10,VDTE.MI,25.065,25.065,24.945,24.955,5547,
2026-09-10,VETY.MI,21.445,21.445,21.29,21.295,11414,
2026-09-08,VITA.MI,5.523,5.529,5.523,5.523,13136,
2026-09-10,VMIG.MI,53.66,53.66,52.84,52.84,4,
2026-09-10,VOLT.MI,42.785,42.91,42.34,42.565,1251,
2026-09-10,VUKE.MI,54.27,54.3,53.85,53.9,13615,
2026-09-10,WDNA.MI,21.855,21.855,21.515,21.515,2708,
2026-09-08,WEB3.MI,8.679,8.823,8.679,8.823,220,
2026-09-10,WEBN.MI,12.844,12.844,12.722,12.746,27033,
2026-09-10,WORLD.MI,31.93,31.93,31.715,31.75,72,
2026-09-10,WTAI.MI,101.18,101.26,99.35,100.06,4584,
2026-09-10,XAIX.MI,208.29,208.37,205.97,206.7,5042,
2026-09-10,XAT1.MI,15.816,15.96,15.816,15.87,35987,
2026-09-10,XAXJ.MI,52.1,52.1,51.54,51.54,5831,
2026-09-10,XBAG.MI,33.09,33.09,32.94,32.94,1280,
2026-09-08,XBNK.MI,9.338,9.338,9.338,9.338,0,
2026-09-10,XDAX.MI,238.4,238.8,237.05,237.1,1143,
2026-09-10,XDER.MI,23.75,23.75,23.38,23.38,12451,
2026-09-10,XDW0.MI,67.51,68.67,66.88,67.32,11320,
2026-09-10,XDWC.MI,57.29,57.29,57.0,57.04,659,
2026-09-10,XDWF.MI,42.03,42.075,41.775,41.795,3016,
2026-09-10,XDWH.MI,52.8,52.89,52.34,52.4,13014,
2026-09-10,XDWI.MI,73.38,73.48,72.57,72.73,6733,
2026-09-10,XDWS.MI,46.585,46.805,46.48,46.57,2179,
2026-09-10,XGII.MI,187.57,187.82,187.57,187.82,25,
2026-09-08,XLBS.MI,553.78,555.02,553.78,555.02,36,
2026-09-10,XLCS.MI,83.27,83.55,83.19,83.55,1834,
2026-09-10,XLES.MI,793.82,808.52,784.03,789.14,2093,
2026-09-10,XLFS.MI,388.33,388.33,385.78,385.78,144,
2026-09-10,XLIS.MI,819.57,819.57,814.21,815.4,61,
2026-09-10,XLPS.MI,638.4,643.55,637.76,639.27,128,
2026-09-10,XLVS.MI,713.71,716.91,707.87,707.87,145,
2026-09-10,XLYS.MI,687.33,688.75,683.88,686.5,304,
2026-09-10,XMBR.MI,60.75,61.93,60.27,61.73,23341,
2026-09-10,XMGA.MI,10.262,10.262,10.26,10.26,10,
2026-09-10,XMIB.MI,50.9,50.9,50.52,50.6,2580,
2026-09-10,XMOV.MI,115.54,115.54,115.44,115.44,12,
2026-09-08,XNJP.MI,42.655,42.655,42.655,42.655,0,
2026-09-10,XSMI.MI,151.76,151.76,150.26,150.26,6703,
2026-09-10,XUTC.MI,148.89,148.89,147.15,148.0,3207,
2026-09-10,XWTS.MI,28.69,28.8,28.615,28.69,3030,
2026-09-10,XYP1.MI,150.37,150.42,149.95,149.95,703,
2026-09-10,XZBU.MI,37.8,37.8,37.45,37.45,3456,
2026-09-08,XZE5.MI,47.745,47.76,47.745,47.745,345,
2026-09-10,XZEG.MI,5.464,5.464,5.438,5.438,261,
2026-09-10,XZMU.MI,71.51,71.51,70.89,71.0,12120,
2026-09-08,YICAU.MI,12.358,12.358,12.334,12.352,1250,
2026-09-08,YIE10.MI,9.95,9.95,9.95,9.95,0,
2026-09-08,YIJU.MI,14.044,14.044,13.976,13.976,50,
2026-09-10,YIWSU.MI,9.687,9.687,9.631,9.631,464,
