ticker,isin,name,benchmark,benchmark_area,category,issuer
PEMD.MI,IE00BF51K132,INVESCO EMER MKTS USD BOND UCITS ETF,BLOOMBERG BARCLAYS EMERGING MARKETS USD SOV BOND,GOVERNMENT BONDS - EMERGING,ETF,Invesco
JMBA.MI,IE00BJ06C937,JPM EMERGING SOVEREIGN UCITS ETF USD ACC,J.P. MORGAN EMERGING MARKETS RISK-AWARE BOND INDEX,GOVERNMENT BONDS - EMERGING,ETF,JP Morgan
DRGN.MI,IE00BLRPQL76,L&G CHINA CNY BOND UCITS ETF,J.P. MORGAN CHINA CUSTOM LIQUID ESG CAPPED INDEX,GOVERNMENT BONDS - EMERGING,ETF,Legal&General
EMLI.MI,IE00BH3X8336,PIMCO Advantage Emerging Markets Local Bond UCITS ETF,PIMCO EMERGING MARKETS ADV LOCAL CUR BOND INDEX,GOVERNMENT BONDS - EMERGING,ETF,Pimco
CB3.MI,LU1681046261,AMUNDI EURO GOVERNMENT TILTED GREEN BOND UCITS ETF Acc,BLOOMBERG EURO TREASURY GREEN BOND TILTED,GOVERNMENT BONDS - EUR,ETF,Amundi
BT27.MI,LU2780872128,AMUNDI FIX 27 ITALY BTP GOV UCITS ETF D,FTSE ITALY GOVERNMENT 2027 MATURITY,GOVERNMENT BONDS - EUR,ETF,Amundi
JBEM.MI,LU1481202692,BNP EASY BBG-BARCLAYS TREASURY UCITS ETF,BLOOMBERG-BARCLAYS EURO AGGREGATE TREASURY (TR),GOVERNMENT BONDS - EUR,ETF,BNP Paribas
GEU7C.MI,LU2993392898,BNP PARIBAS EASY JPM ESG EMU Government Bond IG 5-7Y UCITS ETF EUR Acc,J.P. Morgan ESG EMU Government Bond IG 5-7Y (TR),GOVERNMENT BONDS - EUR,ETF,BNP Paribas
DXG3.MI,LU2870273039,D-X MSCI EURO GOVERNMENT BOND 1-3 UCITS ETF,MFE1GOET Index,GOVERNMENT BONDS - EUR,ETF,Fideuram Asset Management Ireland
DXG5.MI,LU2870273203,D-X MSCI EURO GOVERNMENT BOND 3-5 UCITS ETF,MSCI Eurozone 3Y- 5Y ESG Tilt Select Government Bo,GOVERNMENT BONDS - EUR,ETF,Fideuram Asset Management Ireland
H13E.MI,IE0009WMIIC0,HSBC Euro Lower Carbon Government 1-3 Year Bond UCITS ETF,BLOOMBERG EURO GOVERNMENT 1-3 YEAR CARBON TILTED,GOVERNMENT BONDS - EUR,ETF,HSBC
H10E.MI,IE0008BU0XC3,HSBC Euro Lower Carbon Government 10+ Year Bond UCITS ETF,BLOOMBERG EURO GOVERNMENT 10+ YEAR CARBON TILTED,GOVERNMENT BONDS - EUR,ETF,HSBC
EIB3.MI,IE00BGJWWY63,INVESCO EURO GOV BOND 1-3 UCITS ETF,BLOOMBERG BARCLAYS EURO GOVERNMENT SELECT 1-3 YEAR,GOVERNMENT BONDS - EUR,ETF,Invesco
EIB5.MI,IE00BGJWWV33,INVESCO EURO GOV BOND 3-5 UCITS ETF,BLOOMBERG BARCLAYS EURO GOVERNMENT SELECT 3-5 YEAR,GOVERNMENT BONDS - EUR,ETF,Invesco
SEGA.MI,IE00B4WXJJ64,ISHARES CORE EU GOVT BOND UCITS ETF DIST,BLOOMBERG EUROAGG TREASURY INDEX (TOTAL RETURN),GOVERNMENT BONDS - EUR,ETF,iShares
JE13.MI,IE00BYVZV757,JPM BETABUIL EUR GOV 1-3 Y ACC UCITS ETF,J.P MORGAN EMU GOV BOND INDEX 1-3Y SELECT MATURITY,GOVERNMENT BONDS - EUR,ETF,JP Morgan
BBEG.MI,IE00BJK9HD13,JPM BETABUILD EUR GOVT BOND UCITS ETF,J.P MORGAN EMU GOV BOND INDEX SELECT MATURITY,GOVERNMENT BONDS - EUR,ETF,JP Morgan
OG35.MI,LU2069380306,OSSIAM EURO GOV 3-5 CARB REDUC UCITS ETF,ICE 3-5 YEAR EURO GOVERNMENT CARBON REDUCTION,GOVERNMENT BONDS - EUR,ETF,Ossiam
GOVS.MI,IE00B6YX5F63,SPDR BL 1-3 Y EUR GOV BOND  UCITS ETF,BLOOMBERG EURO 1-3 YEAR TREASURY BOND INDEX,GOVERNMENT BONDS - EUR,ETF,SPDR
LGOV.MI,IE00BYSZ6062,SPDR BL 10+ Y EURO GOVT UCITS ETF,BLOOMBERG EURO 10+ YEAR TREASURY BOND INDEX,GOVERNMENT BONDS - EUR,ETF,SPDR
SS1EUA.MI,LU0969639128,UBS Core BBG EUR Gov 1-10 UCITS ETF EUR dis,BLOOMBERG BARCLAYS EUR TREASURY 1-10 BOND,GOVERNMENT BONDS - EUR,ETF,UBS
VETY.MI,IE00BZ163H91,VANGUARD EUR EUROZON GOVT BOND UCITS ETF,BLOOMBERG EUROAGG TREASURY INDEX (TOTAL RETURN),GOVERNMENT BONDS - EUR,ETF,Vanguard
XYP1.MI,LU0925589839,XTRAC II EUROZ GOV YLD PLU 1-3 UCITS ETF,MARKIT IBOXX EUR SOV EUROZONE YIELD PLUS 1-3 TR,GOVERNMENT BONDS - EUR,ETF,Xtrackers - DWS
YIE10.MI,LU2976321161,YIS 1-10 Year EMU Government Bond UCITS ETF EUR,JPM ESG TILT EMU GOV BOND 1-10 YEAR IND,GOVERNMENT BONDS - EUR,ETF,YourIndex SICAV
ETFUST.MI,LU1931975319,AMUNDI PRIME US TREASURY UCITS ETF DR,SOLACTIVE US TREASURY BOND INDEX,GOVERNMENT BONDS - EX EUR,ETF,Amundi
ADLU.MI,IE000GBYNAU4,AXA IM US Treas 25+ Y UCITS ETF USD A,ICE US TREASURY 25+ YEAR BOND,GOVERNMENT BONDS - EX EUR,ETF,AXA IM
FGGB.MI,IE000IF0HTJ9,FIDELITY GLOBAL GOV CLIMATE UCITS ETF A,SOLACTIVE PARIS AWARE GLOBAL GOVERNMENT BOND INDEX,GOVERNMENT BONDS - EX EUR,ETF,Fidelity International
HSGE.MI,IE000389GTC0,HSBC GLOBAL ESG GOVERNMENT BOND UCITS ETF,BLOOMBERG MSCI GLOBAL TREASURY ESG WEIGHTED BOND,GOVERNMENT BONDS - EX EUR,ETF,HSBC
MUNI.MI,IE00BNG70R26,INVESCO US MUNICIPAL BOND UCITS ETF DIST,ICE BOFA US TAXABLE MUNICIPAL SECURITIES PLUS,GOVERNMENT BONDS - EX EUR,ETF,Invesco
CSBGU3.MI,IE00B3VWN179,ISHARES $ TREA 1-3YR UCITS ETF USD ACC B,BARCLAYS US TREASURY 1-3 YEAR TERM,GOVERNMENT BONDS - EX EUR,ETF,iShares
JU13.MI,IE00BD9MMD49,JPM BETABUIL TREAS 1-3 USD ACC UCITS ETF,J.P MORGAN GOV BOND INDEX US 1-3Y SELECT MATURITY,GOVERNMENT BONDS - EX EUR,ETF,JP Morgan
TRS3.MI,IE00BC7GZJ81,SPDR BL 1-3Y US TREAS BOND UCITS ETF,BLOOMBERG BARCLAYS US 1-3 YEAR TREASURY BOND TR,GOVERNMENT BONDS - EX EUR,ETF,SPDR
JT13.MI,LU2098179695,UBS BBG Japan Treasury 1-3 UCITS ETF JPY acc,BLOOMB BARCL GLOB JAPAN TREASURY 1-3 Y INDEX TR,GOVERNMENT BONDS - EX EUR,ETF,UBS
VDTE.MI,IE00BMX0B631,VANGUARD USD TREAS BOND UCITS ETF EURH A,BLOOMB BARCL GLOB AGGR USTREAS FLOAT ADJ,GOVERNMENT BONDS - EX EUR,ETF,Vanguard
TFRN.MI,IE00BJJYYX67,WISDOMTREE USD FLOAT TREASUR UCITS ETF A,BLOOMBERG BARCLAYS US TREASURY FLOATING RATE BOND,GOVERNMENT BONDS - EX EUR,ETF,WisdomTree
XZEG.MI,LU2385068593,XTRACKERS ESG GLB GOVERN UCITS ETF EUR H,FTSE ESG SELECT WORLD GOVERNMENT BOND INDEX - DM,GOVERNMENT BONDS - EX EUR,ETF,Xtrackers - DWS
GAGG.MI,LU1437024729,Amundi Core Global Aggregate Bond UCITS ETF Acc,BARCLAYS GLOBAL AGGREGATE BOND TR,GOVT + CORPORATE BOND,ETF,Amundi
GAGH.MI,LU1708330318,Amundi Core Global Aggregate Bond UCITS ETF EUR Hedged Acc,BLOOMBERG GLOBAL AGGREGATE BOND INDEX (EUR HEDGED),GOVT + CORPORATE BOND,ETF,Amundi
EJEGSS.MI,LU2365458814,BNP ESG GREEN SOC SUS EUR BOND UCITS ETF,JPMORGAN ESG GREEN SOCIAL&SUSTAIN IG EUR BOND INDX,GOVT + CORPORATE BOND,ETF,BNP Paribas
GSGR.MI,IE000L0X6L81,Goldman Gbl Green Bond UCITS ETF H D,SOLACTIVE GLOBAL GREEN BOND SELECT,GOVT + CORPORATE BOND,ETF,Goldman Sachs
HGAE.MI,IE0006CHRED6,HSBC Global Aggregate Bond UCITS ETF,BLOOMBERG GLOBAL AGGREGATE BOND,GOVT + CORPORATE BOND,ETF,HSBC
AGGH.MI,IE00BDBRDM35,ISHARES CORE GLB AG BOND UCITS ETF EUR H,BARCLAYS GLOBAL AGGREGATE BOND TR,GOVT + CORPORATE BOND,ETF,iShares
EUAG.MI,IE00B41RYL63,SPDR BBG EURO AGG BOND UCITS ETF (DIST),BLOOMBERG EURO AGGREGATE BOND INDEX,GOVT + CORPORATE BOND,ETF,SPDR
E15S.MI,LU1805389258,UBS Core BBG Euro Area Liquid Corp UCITS ETF EUR dis,Bloomberg Euro Area Liquid Corp Total Return Index,GOVT + CORPORATE BOND,ETF,UBS
VAGF.MI,IE00BG47KH54,VANGUARD GLOB AGGREGATE BOND UCITS ETF A,BLOOMB BARCL GLOBAL AGGREGATE FLOAT-ADJ AND SCALED,GOVT + CORPORATE BOND,ETF,Vanguard
XBAG.MI,LU0942970103,XTRACKERS II ESG GL AGGR BOND UCITS ETF,BLOOM MSCI GL AGGR SUST AND SRI CURREN NEUTR INDEX,GOVT + CORPORATE BOND,ETF,Xtrackers - DWS
GIST.MI,LU1910939849,Amd Glb Gvt Inf-Lnk Bnd 1-10Y UCITS ETF,BLOOM BARCLAYS GLOB INFLAT-LINKED 1-10 Y USD,INFLATION,ETF,Amundi
ITPD.MI,IE000F6XDNZ5,ISHARES $ TIPS UCITS ETF USD,BARCLAYS U.S. GOV INFLATION-LINKED ALL BONDS,INFLATION,ETF,iShares
TINE.MI,IE00BKX90X67,Janus Henderson US Enhanced Inflation Core UCITS ETF EUR-H Acc,BLOOMBERG BARCLAYS US ENHANCED INFLATION INDEX,INFLATION,ETF,Tabula
TIPS.MI,IE00BZ0G8977,SPDR BL US TIPS UCITS ETF,BARCLAYS U.S. GOV INFLATION-LINKED ALL BONDS,INFLATION,ETF,SPDR
INFL10.MI,LU1645381689,UBS BBG Euro Inflation Linked 10+ UCITS ETF EUR dis,BLOOMBERG BARCLAYS EURO GOV INFLATION-LINK 10+ Y,INFLATION,ETF,UBS
XGII.MI,LU0962078753,XTRACK II GL INF-LINK EUR H D UCITS ETF,BLOOMBERG BARCLAYS WORLD GOV INFL-LIN BOND EUR HED,INFLATION,ETF,Xtrackers - DWS
A01U.MI,IE00087GRUR0,AXA IM US Treas 0-1 Y UCITS ETF USD A,ICE BOFA 0-1 YEAR US TREASURY,LIQUIDITY,ETF,AXA IM
FEDF.MI,LU1233598447,Amndi Fed Fnds US Dollar Cash UCITS ETF,SOLACTIVE FED FUNDS EFFECTIVE RATE TR,LIQUIDITY,ETF,Amundi
MONEY.MI,IE0005PGDJ30,FINECO AM ESTR PLUS UCITS ETF A EUR Acc,SOLACTIVE ESTR +15BPS DAILY TR,LIQUIDITY,ETF,Fineco
FLUSA.MI,IE000E02WFD5,Franklin US Treasury 0-1 Year UCITS ETF USD Acc,BLOOMBERG US TREASURY SHORT INDEX TR,LIQUIDITY,ETF,Franklin Templeton
CLIP.MI,IE000GSIFIB0,GLOBAL X 1-3 MONTH T-BILL UCITS ETF,SOLACTIVE 1-3 MONTH US T-BILL,LIQUIDITY,ETF,Global X
MGIN.MI,IE00BQWJFQ70,SPDR MRN MULTI-AS GLB INFRAS UCITS ETF D,MORNINGSTAR GLOBAL MULTI-ASSET INFRASTRUCTURE,MULTI ASSET,ETF,SPDR
NTSZ.MI,IE000OV4XWA3,WisdomTree Eurozone Efficient Core UCITS ETF - EUR Acc,WISDOMTREE EUROZONE EFFICIENT CORE UCITS INDEX NTR,MULTI ASSET,ETF,WisdomTree
NTSG.MI,IE00077IIPQ8,WisdomTree Global Efficient Core UCITS ETF A,WISDOMTREE GLOBAL EFFICIENT CORE,MULTI ASSET,ETF,WisdomTree
